a	ə	[a:ə]
mesaros	meɪˈsɑːroʊz	[m:m|e:eɪ].ˈ[s:s|a:ɑː].[r:r|o:oʊ|s:z]
mesbic	ˈmesbɪk	ˈ[m:m|e:e|s:s].[b:b|i:ɪ|c:k]
mesbics	ˈmesbɪks	ˈ[m:m|e:e|s:s].[b:b|i:ɪ|c:k|s:s]
mescalero	ˌmeskəˈleroʊ	ˌ[m:m|e:e].[s:s|c:k|a:ə].ˈ[l:l|e:e].[r:r|o:oʊ]
mescaline	ˈmeskəˌliːn	ˈ[m:m|e:e].[s:s|c:k|a:ə].ˌ[l:l|i:iː|ne:n]
mesch	ˈmeʃ	ˈ[m:m|es:e|ch:ʃ]
mesched	ˈmeʃed	ˈ[m:m|es:e].[ch:ʃ|e:e|d:d]
mescher	ˈmeʃər	ˈ[m:m|es:e].[ch:ʃ|er:ər]
meschke	ˈmeʃk	ˈ[m:m|es:e|ch:ʃ|ke:k]
mesdames	meɪˈdæmz	[m:m|es:eɪ].ˈ[d:d|a:æ|m:m|es:z]
meselsohn	ˈmezəlsən	ˈ[m:m|e:e].[s:z|e:ə|l:l].[s:s|oh:ə|n:n]
meselson	ˈmezəlsən	ˈ[m:m|e:e].[s:z|e:ə|l:l].[s:s|o:ə|n:n]
mesenbrink	ˈmesɪnbrɪŋk	ˈ[m:m|e:e].[s:s|e:ɪ|n:n].[b:b|r:r|i:ɪ|n:ŋ|k:k]
mesenchymal	ˌmezeˈkaɪməl	ˌ[m:m|e:e].[s:z|en:e].ˈ[ch:k|y:aɪ].[m:m|a:ə|l:l]
mesenteric	ˌmesənˈterɪk	ˌ[m:m|e:e].[s:s|e:ə|n:n].ˈ[t:t|e:e].[r:r|i:ɪ|c:k]
meserole	mesərˈoʊliː	[m:m|e:e].[s:s|er:ər].ˈ[o:oʊ].[l:l|e:iː]
meserve	ˈmesərv	ˈ[m:m|e:e].[s:s|er:ər|ve:v]
meservey	mezərˈveɪ	[m:m|e:e].[s:z|er:ər].ˈ[v:v|ey:eɪ]
mesh	ˈmeʃ	ˈ[m:m|e:e|sh:ʃ]
meshed	ˈmeʃt	ˈ[m:m|e:e|sh:ʃ|ed:t]
meshell	ˈmeʃəl	ˈ[m:m|e:e].[sh:ʃ|e:ə|ll:l]
meshes	ˈmeʃɪz	ˈ[m:m|e:e].[sh:ʃ|e:ɪ|s:z]
meshing	ˈmeʃɪŋ	ˈ[m:m|e:e].[sh:ʃ|i:ɪ|ng:ŋ]
meshulam	ˈmeʃuːlæm	ˈ[m:m|e:e].[sh:ʃ|u:uː].[l:l|a:æ|m:m]
mesick	ˈmesɪk	ˈ[m:m|e:e].[s:s|i:ɪ|ck:k]
mesirow	ˈmesɪroʊ	ˈ[m:m|e:e].[s:s|i:ɪ].[r:r|ow:oʊ]
meske	ˈmesk	ˈ[m:m|e:e|s:s|ke:k]
mesker	ˈmeskər	ˈ[m:m|e:e].[s:s|k:k|er:ər]
meskill	ˈmeskɪl	ˈ[m:m|e:e].[s:s|k:k|i:ɪ|ll:l]
meskimen	ˈmeskiːmen	ˈ[m:m|e:e].[s:s|k:k|i:iː].[m:m|e:e|n:n]
mesko	ˈmeskoʊ	ˈ[m:m|e:e].[s:s|k:k|o:oʊ]
mesler	ˈmesələr	ˈ[m:m|e:e].[s:s|l:əl].[er:ər]
mesmer	ˈmezmər	ˈ[m:m|e:e|s:z].[m:m|er:ər]
mesmerism	ˈmesmərˌɪzəm	ˈ[m:m|e:e].[s:s|m:m|er:ər].ˌ[i:ɪ].[s:z|m:əm]
mesmerize	ˈmezmərˌaɪz	ˈ[m:m|e:e|s:z].[m:m|er:ər].ˌ[i:aɪ|ze:z]
mesmerized	ˈmezmərˌaɪzd	ˈ[m:m|e:e|s:z].[m:m|er:ər].ˌ[i:aɪ|ze:z|d:d]
mesmerizing	ˈmezmərˌaɪzɪŋ	ˈ[m:m|e:e|s:z].[m:m|er:ər].ˌ[i:aɪ].[z:z|i:ɪ|ng:ŋ]
mesner	ˈmesnər	ˈ[m:m|e:e].[s:s|n:n|er:ər]
mesodermal	ˌmezəˈdɜːrməl	ˌ[m:m|e:e].[s:z|o:ə].ˈ[d:d|er:ɜːr].[m:m|a:ə|l:l]
mesolithic	ˌmezəˈlɪθɪk	ˌ[m:m|e:e].[s:z|o:ə].ˈ[l:l|i:ɪ].[th:θ|i:ɪ|c:k]
meson	ˈmeɪˌzɑːn	ˈ[m:m|e:eɪ].ˌ[s:z|o:ɑː|n:n]
mesons	ˈmiːˌzɑːnz	ˈ[m:m|e:iː].ˌ[s:z|o:ɑː|n:n|s:z]
mesopotamia	ˌmesəpəˈteɪmiːə	ˌ[m:m|e:e].[s:s|o:ə].[p:p|o:ə].ˈ[t:t|a:eɪ].[m:m|i:iː].[a:ə]
mesopotamian	ˌmesəpəˈteɪmiːən	ˌ[m:m|e:e].[s:s|o:ə].[p:p|o:ə].ˈ[t:t|a:eɪ].[m:m|i:iː].[a:ə|n:n]
mesopotamians	ˌmesəpəˈteɪmiːənz	ˌ[m:m|e:e].[s:s|o:ə].[p:p|o:ə].ˈ[t:t|a:eɪ].[m:m|i:iː].[a:ə|n:n|s:z]
mesothelioma	ˌmesəˌθiːliːˈoʊmə	ˌ[m:m|e:e].[s:s|o:ə].ˌ[th:θ|e:iː].[l:l|i:iː].ˈ[o:oʊ].[m:m|a:ə]
mesothorax	ˌmezəˈθɔːˌræks	ˌ[m:m|e:e].[s:z|o:ə].ˈ[th:θ|o:ɔː].ˌ[r:r|a:æ|x:ks]
mesozoic	ˌmesəˈzoʊɪk	ˌ[m:m|e:e].[s:s|o:ə].ˈ[z:z|o:oʊ].[i:ɪ|c:k]
mesquite	ˈmeˌskiːt	ˈ[m:m|e:e].ˌ[s:s|qu:k|i:iː|te:t]
mess	ˈmes	ˈ[m:m|e:e|ss:s]
messa	ˈmesə	ˈ[m:m|e:e].[ss:s|a:ə]
message	ˈmesədʒ	ˈ[m:m|e:e].[ss:s|a:ə|ge:dʒ]
messagepad	ˈmesədʒˌpæd	ˈ[m:m|e:e].[ss:s|a:ə|ge:dʒ].ˌ[p:p|a:æ|d:d]
messages	ˈmesədʒəz	ˈ[m:m|e:e].[ss:s|a:ə].[g:dʒ|e:ə|s:z]
messaging	ˈmesɪdʒɪŋ	ˈ[m:m|e:e].[ss:s|a:ɪ].[g:dʒ|i:ɪ|ng:ŋ]
messamore	meˈsɑːmɔːr	[m:m|e:e].ˈ[ss:s|a:ɑː].[m:m|o:ɔː|re:r]
messana	meˈsænə	[m:m|e:e].ˈ[ss:s|a:æ].[n:n|a:ə]
messed	ˈmest	ˈ[m:m|e:e|ss:s|ed:t]
messeghero	ˌmesəˈɡeroʊ	ˌ[m:m|e:e].[ss:s|e:ə].ˈ[gh:ɡ|e:e].[r:r|o:oʊ]
messel	ˈmesəl	ˈ[m:m|e:e].[ss:s|e:ə|l:l]
messenger	ˈmesəndʒər	ˈ[m:m|e:e].[ss:s|e:ə|n:n].[g:dʒ|er:ər]
messengers	ˈmesəndʒərz	ˈ[m:m|e:e].[ss:s|e:ə|n:n].[g:dʒ|er:ər|s:z]
messer	ˈmesər	ˈ[m:m|e:e].[ss:s|er:ər]
messerli	ˈmesərliː	ˈ[m:m|e:e].[ss:s|er:ər].[l:l|i:iː]
messerly	ˈmesərliː	ˈ[m:m|e:e].[ss:s|er:ər].[l:l|y:iː]
messerschmidt	ˈmesərʃˌmɪt	ˈ[m:m|e:e].[ss:s|ers:ər|ch:ʃ].ˌ[m:m|i:ɪ|dt:t]
messerschmitt	ˈmesərʃˌmɪt	ˈ[m:m|e:e].[ss:s|ers:ər|ch:ʃ].ˌ[m:m|i:ɪ|tt:t]
messersmith	ˈmesərˌsmɪθ	ˈ[m:m|e:e].[ss:s|er:ər].ˌ[s:s|m:m|i:ɪ|th:θ]
messes	ˈmesɪz	ˈ[m:m|e:e].[ss:s|e:ɪ|s:z]
messiaen	ˈmesiːˌeɪn	ˈ[m:m|e:e].[ss:s|i:iː].ˌ[ae:eɪ|n:n]
messiaen's	ˈmesiːˌeɪnz	ˈ[m:m|e:e].[ss:s|i:iː].ˌ[ae:eɪ|n:n|'s:z]
messiah	məˈsaɪə	[m:m|e:ə].ˈ[ss:s|i:aɪ].[ah:ə]
messiahs	məˈsaɪəz	[m:m|e:ə].ˈ[ss:s|i:aɪ].[ah:ə|s:z]
messianic	ˌmesiːˈænɪk	ˌ[m:m|e:e].[ss:s|i:iː].ˈ[a:æ].[n:n|i:ɪ|c:k]
messick	ˈmesɪk	ˈ[m:m|e:e].[ss:s|i:ɪ|ck:k]
messier	ˈmesiːər	ˈ[m:m|e:e].[ss:s|i:iː].[er:ər]
messieurs	meɪˈsjɜːrz	[m:m|e:eɪ].ˈ[ss:s|ie:j|ur:ɜːr|s:z]
messimer	ˈmesɪmər	ˈ[m:m|e:e].[ss:s|i:ɪ].[m:m|er:ər]
messina	mɪˈsiːnə	[m:m|e:ɪ].ˈ[ss:s|i:iː].[n:n|a:ə]
messineo	ˌmeˈsɪniːoʊ	ˌ[m:m|e:e].ˈ[ss:s|i:ɪ].[n:n|e:iː].[o:oʊ]
messing	ˈmesɪŋ	ˈ[m:m|e:e].[ss:s|i:ɪ|ng:ŋ]
messinger	ˈmesɪŋər	ˈ[m:m|e:e].[ss:s|i:ɪ|ng:ŋ].[er:ər]
messler	ˈmeslər	ˈ[m:m|e:e].[ss:s|l:l|er:ər]
messman	ˈmesmən	ˈ[m:m|e:e].[ss:s|m:m|a:ə|n:n]
messmer	ˈmesmər	ˈ[m:m|e:e].[ss:s|m:m|er:ər]
messmore	ˈmesmɔːr	ˈ[m:m|e:e].[ss:s|m:m|o:ɔː|re:r]
messner	ˈmesnər	ˈ[m:m|e:e].[ss:s|n:n|er:ər]
messrs	ˈmesərz	ˈ[m:m|e:e].[ss:s|r:ər|s:z]
messy	ˈmesiː	ˈ[m:m|e:e].[ss:s|y:iː]
mest	ˈmest	ˈ[m:m|e:e|s:s|t:t]
mesta	ˈmestə	ˈ[m:m|e:e].[s:s|t:t|a:ə]
mestas	ˈmestəz	ˈ[m:m|e:e].[s:s|t:t|a:ə|s:z]
mestek	ˈmeˌstek	ˈ[m:m|e:e].ˌ[s:s|t:t|e:e|k:k]
mester	ˈmestər	ˈ[m:m|e:e].[s:s|t:t|er:ər]
mestizo	meˈstiːzoʊ	[m:m|e:e].ˈ[s:s|t:t|i:iː].[z:z|o:oʊ]
meston	ˈmestən	ˈ[m:m|e:e].[s:s|t:t|o:ə|n:n]
mestrallet	ˈmestrəˌlet	ˈ[m:m|e:e].[s:s|t:t|r:r|a:ə].ˌ[ll:l|e:e|t:t]
mestre	ˈmestər	ˈ[m:m|e:e].[s:s|t:t|re:ər]
mestrovic	ˈmestroʊvɪk	ˈ[m:m|e:e].[s:s|t:t|r:r|o:oʊ].[v:v|i:ɪ|c:k]
meszaros	mɪˈʃɑːroʊz	[m:m|e:ɪ].ˈ[sz:ʃ|a:ɑː].[r:r|o:oʊ|s:z]
met	ˈmet	ˈ[m:m|e:e|t:t]
met's	ˈmets	ˈ[m:m|e:e|t:t|'s:s]
meta	ˈmiːtə	ˈ[m:m|e:iː].[t:t|a:ə]
metabolic	ˌmetəˈbɑːlɪk	ˌ[m:m|e:e].[t:t|a:ə].ˈ[b:b|o:ɑː].[l:l|i:ɪ|c:k]
metabolism	məˈtæbəˌlɪzəm	[m:m|e:ə].ˈ[t:t|a:æ].[b:b|o:ə].ˌ[l:l|i:ɪ].[s:z|m:əm]
metabolisms	məˈtæbəˌlɪzəmz	[m:m|e:ə].ˈ[t:t|a:æ].[b:b|o:ə].ˌ[l:l|i:ɪ].[s:z|m:əm|s:z]
metabolite	məˈtæbəˌlaɪt	[m:m|e:ə].ˈ[t:t|a:æ].[b:b|o:ə].ˌ[l:l|i:aɪ|te:t]
metabolites	məˈtæbəˌlaɪts	[m:m|e:ə].ˈ[t:t|a:æ].[b:b|o:ə].ˌ[l:l|i:aɪ|te:t|s:s]
metabolize	məˈtæbəˌlaɪz	[m:m|e:ə].ˈ[t:t|a:æ].[b:b|o:ə].ˌ[l:l|i:aɪ|ze:z]
metacarpal	ˌmetəˈkɑːrpəl	ˌ[m:m|e:e].[t:t|a:ə].ˈ[c:k|a:ɑː|r:r].[p:p|a:ə|l:l]
metacarpals	ˌmetəˈkɑːrpəlz	ˌ[m:m|e:e].[t:t|a:ə].ˈ[c:k|a:ɑː|r:r].[p:p|a:ə|l:l|s:z]
metagogue	ˈmetəˌɡɔːɡ	ˈ[m:m|e:e].[t:t|a:ə].ˌ[g:ɡ|o:ɔː|gue:ɡ]
metagogued	ˈmetəˌɡɔːɡd	ˈ[m:m|e:e].[t:t|a:ə].ˌ[g:ɡ|o:ɔː|gu:ɡ|ed:d]
metairie	məˈteriː	[m:m|e:ə].ˈ[t:t|ai:e].[r:r|ie:iː]
metal	ˈmetəl	ˈ[m:m|e:e].[t:t|a:ə|l:l]
metal's	ˈmetəlz	ˈ[m:m|e:e].[t:t|a:ə|l:l|'s:z]
metall	ˈmeˈtɔːl	ˈ[m:m|e:e].ˈ[t:t|al:ɔː|l:l]
metallatz	ˈmeˈtæləts	ˈ[m:m|e:e].ˈ[t:t|a:æ].[ll:l|a:ə|t:t|z:s]
metallgesellschaft	ˌmetəlˈɡesəlˌʃæft	ˌ[m:m|e:e].[t:t|a:ə|ll:l].ˈ[g:ɡ|e:e].[s:s|e:ə|lls:l].ˌ[ch:ʃ|a:æ|f:f|t:t]
metallgesellschaft's	ˌmetəlˈɡesəlˌʃæfts	ˌ[m:m|e:e].[t:t|a:ə|ll:l].ˈ[g:ɡ|e:e].[s:s|e:ə|lls:l].ˌ[ch:ʃ|a:æ|f:f|t:t|'s:s]
metallic	məˈtælɪk	[m:m|e:ə].ˈ[t:t|a:æ].[ll:l|i:ɪ|c:k]
metallic's	məˈtælɪks	[m:m|e:ə].ˈ[t:t|a:æ].[ll:l|i:ɪ|c:k|'s:s]
metallica	məˈtælɪkə	[m:m|e:ə].ˈ[t:t|a:æ].[ll:l|i:ɪ].[c:k|a:ə]
metallica's	məˈtælɪkəz	[m:m|e:ə].ˈ[t:t|a:æ].[ll:l|i:ɪ].[c:k|a:ə|'s:z]
metallics	məˈtælɪks	[m:m|e:ə].ˈ[t:t|a:æ].[ll:l|i:ɪ|c:k|s:s]
metallo	meˈtɑːloʊ	[m:m|e:e].ˈ[t:t|a:ɑː].[ll:l|o:oʊ]
metallurgical	ˌmetəˈlɜːrdʒɪkəl	ˌ[m:m|e:e].[t:t|a:ə].ˈ[ll:l|ur:ɜːr].[g:dʒ|i:ɪ].[c:k|a:ə|l:l]
metallurgy	ˈmetələrdʒiː	ˈ[m:m|e:e].[t:t|a:ə].[ll:l|ur:ər].[g:dʒ|y:iː]
metals	ˈmetəlz	ˈ[m:m|e:e].[t:t|a:ə|l:l|s:z]
metals'	ˈmetəlz	ˈ[m:m|e:e].[t:t|a:ə|l:l|s':z]
metalwork	ˈmetəlˌwɜːrk	ˈ[m:m|e:e].[t:t|a:ə|l:l].ˌ[w:w|or:ɜːr|k:k]
metalworker	ˈmetəlˌwɜːrkər	ˈ[m:m|e:e].[t:t|a:ə|l:l].ˌ[w:w|or:ɜːr].[k:k|er:ər]
metalworkers	ˈmetəlˌwɜːrkərz	ˈ[m:m|e:e].[t:t|a:ə|l:l].ˌ[w:w|or:ɜːr].[k:k|er:ər|s:z]
metalworking	ˈmetəlˌwɜːrkɪŋ	ˈ[m:m|e:e].[t:t|a:ə|l:l].ˌ[w:w|or:ɜːr].[k:k|i:ɪ|ng:ŋ]
metamorphasis	ˌmetəˈmɔːrfəsəs	ˌ[m:m|e:e].[t:t|a:ə].ˈ[m:m|o:ɔː|r:r].[ph:f|a:ə].[s:s|i:ə|s:s]
metamorphic	ˌmetəˈmɔːrfɪk	ˌ[m:m|e:e].[t:t|a:ə].ˈ[m:m|o:ɔː|r:r].[ph:f|i:ɪ|c:k]
metamorphose	ˌmetəˈmɔːrfoʊz	ˌ[m:m|e:e].[t:t|a:ə].ˈ[m:m|o:ɔː|r:r].[ph:f|o:oʊ|se:z]
metamorphosis	ˌmetəˈmɔːrfəsəs	ˌ[m:m|e:e].[t:t|a:ə].ˈ[m:m|o:ɔː|r:r].[ph:f|o:ə].[s:s|i:ə|s:s]
metamucil	ˌmetəˈmjuːsəl	ˌ[m:m|e:e].[t:t|a:ə].ˈ[m:m|u:juː].[c:s|i:ə|l:l]
metamucil's	ˌmetəˈmjuːsəlz	ˌ[m:m|e:e].[t:t|a:ə].ˈ[m:m|u:juː].[c:s|i:ə|l:l|'s:z]
metaphor	ˈmetəfɔːr	ˈ[m:m|e:e].[t:t|a:ə].[ph:f|o:ɔː|r:r]
metaphorical	ˌmetəˈfɔːrɪkəl	ˌ[m:m|e:e].[t:t|a:ə].ˈ[ph:f|o:ɔː].[r:r|i:ɪ].[c:k|a:ə|l:l]
metaphorically	ˌmetəˈfɔːrɪkliː	ˌ[m:m|e:e].[t:t|a:ə].ˈ[ph:f|o:ɔː].[r:r|i:ɪ].[ca:k|ll:l|y:iː]
metaphors	ˈmetəfɔːrz	ˈ[m:m|e:e].[t:t|a:ə].[ph:f|o:ɔː|r:r|s:z]
metaphysical	ˌmetəˈfɪzɪkəl	ˌ[m:m|e:e].[t:t|a:ə].ˈ[ph:f|y:ɪ].[s:z|i:ɪ].[c:k|a:ə|l:l]
metaphysics	ˌmetəˈfɪzɪks	ˌ[m:m|e:e].[t:t|a:ə].ˈ[ph:f|y:ɪ].[s:z|i:ɪ|c:k|s:s]
metastases	məˈtæˌsteɪsiːs	[m:m|e:ə].ˈ[t:t|a:æ].ˌ[s:s|t:t|a:eɪ].[s:s|e:iː|s:s]
metastasis	məˈtæstəsɪs	[m:m|e:ə].ˈ[t:t|a:æ].[s:s|t:t|a:ə].[s:s|i:ɪ|s:s]
metastasize	məˈtæstəˌsaɪz	[m:m|e:ə].ˈ[t:t|a:æ].[s:s|t:t|a:ə].ˌ[s:s|i:aɪ|ze:z]
metastasized	məˈtæstəˌsaɪzd	[m:m|e:ə].ˈ[t:t|a:æ].[s:s|t:t|a:ə].ˌ[s:s|i:aɪ|ze:z|d:d]
metastatic	ˌmetəˈstætɪk	ˌ[m:m|e:e].[t:t|a:ə].ˈ[s:s|t:t|a:æ].[t:t|i:ɪ|c:k]
metathorax	ˌmetəˈθɔːˌræks	ˌ[m:m|e:e].[t:t|a:ə].ˈ[th:θ|o:ɔː].ˌ[r:r|a:æ|x:ks]
metavsky	məˈtævskiː	[m:m|e:ə].ˈ[t:t|a:æ|v:v].[s:s|k:k|y:iː]
metaxas	məˈtæksəs	[m:m|e:ə].ˈ[t:t|a:æ|x:ks].[a:ə|s:s]
metcalf	ˈmetˌkæf	ˈ[m:m|e:e|t:t].ˌ[c:k|al:æ|f:f]
metcalfe	ˈmetkəlf	ˈ[m:m|e:e|t:t].[c:k|a:ə|l:l|fe:f]
metcom	ˈmetkɑːm	ˈ[m:m|e:e|t:t].[c:k|o:ɑː|m:m]
mete	ˈmiːt	ˈ[m:m|e:iː|te:t]
meted	ˈmiːtɪd	ˈ[m:m|e:iː].[t:t|e:ɪ|d:d]
meteor	ˈmiːtiːər	ˈ[m:m|e:iː].[t:t|e:iː].[or:ər]
meteoric	ˌmiːtiːˈɔːrɪk	ˌ[m:m|e:iː].[t:t|e:iː].ˈ[o:ɔː].[r:r|i:ɪ|c:k]
meteorite	ˈmiːtiːɔːˌraɪt	ˈ[m:m|e:iː].[t:t|e:iː].[o:ɔː].ˌ[r:r|i:aɪ|te:t]
meteorological	ˌmiːtiːˌɔːrəˈlɑːdʒɪkəl	ˌ[m:m|e:iː].[t:t|e:iː].ˌ[o:ɔː].[r:r|o:ə].ˈ[l:l|o:ɑː].[g:dʒ|i:ɪ].[c:k|a:ə|l:l]
meteorologist	ˌmiːtiːərˈɑːlədʒɪst	ˌ[m:m|e:iː].[t:t|e:iː].[or:ər].ˈ[o:ɑː].[l:l|o:ə].[g:dʒ|i:ɪ|s:s|t:t]
meteorologist's	ˌmiːtiːərˈɑːlədʒɪsts	ˌ[m:m|e:iː].[t:t|e:iː].[or:ər].ˈ[o:ɑː].[l:l|o:ə].[g:dʒ|i:ɪ|s:s|t:t|'s:s]
meteorologists	ˌmiːtiːərˈɑːlədʒɪsts	ˌ[m:m|e:iː].[t:t|e:iː].[or:ər].ˈ[o:ɑː].[l:l|o:ə].[g:dʒ|i:ɪ|s:s|t:t|s:s]
meteorology	ˌmiːtiːərˈɑːlədʒiː	ˌ[m:m|e:iː].[t:t|e:iː].[or:ər].ˈ[o:ɑː].[l:l|o:ə].[g:dʒ|y:iː]
meteors	ˈmiːtiːərz	ˈ[m:m|e:iː].[t:t|e:iː].[or:ər|s:z]
meter	ˈmiːtər	ˈ[m:m|e:iː].[t:t|er:ər]
metered	ˈmiːtərd	ˈ[m:m|e:iː].[t:t|er:ər|ed:d]
metering	ˈmiːtərɪŋ	ˈ[m:m|e:iː].[t:t|er:ər].[i:ɪ|ng:ŋ]
meters	ˈmiːtərz	ˈ[m:m|e:iː].[t:t|er:ər|s:z]
metex	ˈmeˌteks	ˈ[m:m|e:e].ˌ[t:t|e:e|x:ks]
meth	ˈmeθ	ˈ[m:m|e:e|th:θ]
methadone	ˈmeθəˌdoʊn	ˈ[m:m|e:e].[th:θ|a:ə].ˌ[d:d|o:oʊ|ne:n]
methamphetamine	ˌmeθæmˈfetəmiːn	ˌ[m:m|e:e].[th:θ|a:æ|m:m].ˈ[ph:f|e:e].[t:t|a:ə].[m:m|i:iː|ne:n]
methane	ˈmeˌθeɪn	ˈ[m:m|e:e].ˌ[th:θ|a:eɪ|ne:n]
methanex	ˈmeθəˌneks	ˈ[m:m|e:e].[th:θ|a:ə].ˌ[n:n|e:e|x:ks]
methanol	ˈmeθəˌnɑːl	ˈ[m:m|e:e].[th:θ|a:ə].ˌ[n:n|o:ɑː|l:l]
methazine	ˈmeθəˌziːn	ˈ[m:m|e:e].[th:θ|a:ə].ˌ[z:z|i:iː|ne:n]
metheney	ˈmeθɪniː	ˈ[m:m|e:e].[th:θ|e:ɪ].[n:n|ey:iː]
metheny	ˈmeθɪniː	ˈ[m:m|e:e].[th:θ|e:ɪ].[n:n|y:iː]
methner	ˈmeθnər	ˈ[m:m|e:e|th:θ].[n:n|er:ər]
method	ˈmeθəd	ˈ[m:m|e:e].[th:θ|o:ə|d:d]
methode	məˈθoʊd	[m:m|e:ə].ˈ[th:θ|o:oʊ|de:d]
methodical	məˈθɑːdəkəl	[m:m|e:ə].ˈ[th:θ|o:ɑː].[d:d|i:ə].[c:k|a:ə|l:l]
methodically	məˈθɑːdɪkəliː	[m:m|e:ə].ˈ[th:θ|o:ɑː].[d:d|i:ɪ].[c:k|a:ə].[ll:l|y:iː]
methodism	ˈmeθəˌdɪzəm	ˈ[m:m|e:e].[th:θ|o:ə].ˌ[d:d|i:ɪ].[s:z|m:əm]
methodisms	ˈmeθəˌdɪzəmz	ˈ[m:m|e:e].[th:θ|o:ə].ˌ[d:d|i:ɪ].[s:z|m:əm|s:z]
methodist	ˈmeθədəst	ˈ[m:m|e:e].[th:θ|o:ə].[d:d|i:ə|s:s|t:t]
methodological	ˌmeθədəˈlɑːdʒɪkəl	ˌ[m:m|e:e].[th:θ|o:ə].[d:d|o:ə].ˈ[l:l|o:ɑː].[g:dʒ|i:ɪ].[c:k|a:ə|l:l]
methodologies	ˌmeθoʊˈdɑːlədʒiːz	ˌ[m:m|e:e].[th:θ|o:oʊ].ˈ[d:d|o:ɑː].[l:l|o:ə].[g:dʒ|ie:iː|s:z]
methodology	ˌmeθəˈdɑːlədʒiː	ˌ[m:m|e:e].[th:θ|o:ə].ˈ[d:d|o:ɑː].[l:l|o:ə].[g:dʒ|y:iː]
methods	ˈmeθədz	ˈ[m:m|e:e].[th:θ|o:ə|d:d|s:z]
methot	ˈmeθət	ˈ[m:m|e:e].[th:θ|o:ə|t:t]
methotrexate	ˌmeθoʊˈtrekˌseɪt	ˌ[m:m|e:e].[th:θ|o:oʊ].ˈ[t:t|r:r|e:e|x:ks].ˌ[a:eɪ|te:t]
methought	ˈmeˌθɔːt	ˈ[m:m|e:e].ˌ[th:θ|oug:ɔː|ht:t]
methuselah	məˈθjuːzələ	[m:m|e:ə].ˈ[th:θ|u:juː].[s:z|e:ə].[l:l|ah:ə]
methvin	ˈmeθvɪn	ˈ[m:m|e:e|th:θ].[v:v|i:ɪ|n:n]
methyl	ˈmeθəl	ˈ[m:m|e:e].[th:θ|y:ə|l:l]
methylene	ˈmeθɪˌliːn	ˈ[m:m|e:e].[th:θ|y:ɪ].ˌ[l:l|e:iː|ne:n]
metics	ˈmetɪks	ˈ[m:m|e:e].[t:t|i:ɪ|c:k|s:s]
meticulous	məˈtɪkjələs	[m:m|e:ə].ˈ[t:t|i:ɪ].[c:k|u:jə].[l:l|ou:ə|s:s]
meticulously	məˈtɪkjələsliː	[m:m|e:ə].ˈ[t:t|i:ɪ].[c:k|u:jə].[l:l|ou:ə].[s:s|l:l|y:iː]
metier	ˈmetjər	ˈ[m:m|e:e].[t:t|i:j|er:ər]
metis	ˈmetɪs	ˈ[m:m|e:e].[t:t|i:ɪ|s:s]
metivier	ˈmetɪviːər	ˈ[m:m|e:e].[t:t|i:ɪ].[v:v|i:iː].[er:ər]
metlakatla	metləˈkætlə	[m:m|e:e|t:t].[l:l|a:ə].ˈ[k:k|a:æ|t:t].[l:l|a:ə]
metlife	ˈmetˌlaɪf	ˈ[m:m|e:e|t:t].ˌ[l:l|i:aɪ|fe:f]
metolachlor	məˈtoʊləklər	[m:m|e:ə].ˈ[t:t|o:oʊ].[l:l|a:ə].[ch:k|l:l|or:ər]
metonomy	məˈtɔːnəmiː	[m:m|e:ə].ˈ[t:t|o:ɔː].[n:n|o:ə].[m:m|y:iː]
metoyer	ˈmetɔɪər	ˈ[m:m|e:e].[t:t|oy:ɔɪ].[er:ər]
metpath	ˈmetˌpæθ	ˈ[m:m|e:e|t:t].ˌ[p:p|a:æ|th:θ]
metra	ˈmetrə	ˈ[m:m|e:e].[t:t|r:r|a:ə]
metrahealth	ˈmetrəˌhelθ	ˈ[m:m|e:e].[t:t|r:r|a:ə].ˌ[h:h|ea:e|l:l|th:θ]
metre	ˈmiːtər	ˈ[m:m|e:iː].[t:t|re:ər]
metres	ˈmiːtərz	ˈ[m:m|e:iː].[t:t|re:ər|s:z]
metric	ˈmetrɪk	ˈ[m:m|e:e].[t:t|r:r|i:ɪ|c:k]
metrical	ˈmetrɪkəl	ˈ[m:m|e:e].[t:t|r:r|i:ɪ].[c:k|a:ə|l:l]
metrically	ˈmetrɪkəliː	ˈ[m:m|e:e].[t:t|r:r|i:ɪ].[c:k|a:ə].[ll:l|y:iː]
metrick	ˈmetrɪk	ˈ[m:m|e:e].[t:t|r:r|i:ɪ|ck:k]
metrics	ˈmetrɪks	ˈ[m:m|e:e].[t:t|r:r|i:ɪ|c:k|s:s]
metro	ˈmeˌtroʊ	ˈ[m:m|e:e].ˌ[t:t|r:r|o:oʊ]
metro's	ˈmetroʊz	ˈ[m:m|e:e].[t:t|r:r|o:oʊ|'s:z]
metrobanc	ˈmetroʊˌbæŋk	ˈ[m:m|e:e].[t:t|r:r|o:oʊ].ˌ[b:b|a:æ|n:ŋ|c:k]
metrobank	ˈmetroʊˌbæŋk	ˈ[m:m|e:e].[t:t|r:r|o:oʊ].ˌ[b:b|a:æ|n:ŋ|k:k]
metrocall	ˈmeˌtroʊˌkɔːl	ˈ[m:m|e:e].ˌ[t:t|r:r|o:oʊ].ˌ[c:k|al:ɔː|l:l]
